Status,Category,Vendor Record Type,Vendor,Associated Prime Vendor,M/WBE Category,Woman Owned Business,Emerging Business,Agency,Expense Category,Contract ID,Parent Contract ID,Version Number,Contract type,Purpose,Industry, Current Amount , Original Amount ,Start date,End Date,Registration date,Received date,Award Method,APT PIN,PIN
Registered,Expense,Prime Vendor,OXFORD INSTRUMENTS AMERICA  INC.,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CT105620231408476,,1,WORK/LABOR,INSTRUMENTATION SERVICE SUPPORT  QMS 1498,Goods," $14,268.00 "," $14,268.00 ",11/15/2022,6/30/2023,12/1/2022,,SMALL PURCHASE - WRITTEN,,235640040
Registered,Expense,Prime Vendor,COMPULINK TECHNOLOGIES INC,N/A,Hispanic American,No ,No ,Police Department,PURCH DATA PROCESSING EQUIPT,CT105620231409197,,1,SUPPLIES/MATERIALS/EQUIPMENT,HEADSETS & CORDS  QMS 1533,Goods," $17,168.00 "," $17,168.00 ",11/21/2022,6/30/2023,12/1/2022,,SMALL PURCHASE - WRITTEN,,236220242
Registered,Expense,Prime Vendor,CRONOS FIRE AND ELECTRICAL CORP,N/A,Asian American,No ,No ,Police Department,MAINT & OPER OF INFRASTRUCTURE,CT105620231405566,,1,REQUIREMENTS-SERVICES,REPAIR  REPLACE  SERVICE  UPGRADE  MAINTAIN  QMS 1151,Goods," $80,000.00 "," $80,000.00 ",9/22/2022,6/30/2024,11/30/2022,,SM PURCH GOODS SERVICES 100K,,233660123
Registered,Expense,Prime Vendor,NORITSU AMERICA CORP,N/A,Non-M/WBE,No ,No ,Police Department,CAPITAL PURCHASED EQUIPMENT,CT105620238804717,,1,REQUIREMENTS-GOODS,Noritsu Photographic Equipment,Goods," $182,122.00 "," $182,122.00 ",12/7/2022,12/6/2023,11/30/2022,,SOLE SOURCE,,05622S0001001
Registered,Expense,Prime Vendor,DELOITTE CONSULTING LLP,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CTA105620238804714,,1,CONSULTANT,Strategic Management Consulting- Task Order # 1,Professional Services," $278,210.39 "," $278,210.39 ",9/26/2022,3/25/2023,11/30/2022,,MULTIPLE AWARDS,,05623Z0001001
Registered,Expense,Prime Vendor,HARRIS ENERGY SOLUTIONS LLC,N/A,Women (Non-Minority),Yes,No ,Police Department,MAINT & OPER OF INFRASTRUCTURE,CT105620231407383,,1,WORK/LABOR,Energy Consulting ServicesDevices on BMS  QMS 1397,Goods," $80,000.00 "," $80,000.00 ",12/8/2022,6/30/2023,11/29/2022,,SM PURCH GOODS SERVICES 100K,,23-5390032
Registered,Expense,Prime Vendor,AWARDS DEPOT,N/A,Black American,No ,No ,Police Department,MISCELLANEOUS AWARDS,CT105620231408656,,1,SUPPLIES/MATERIALS/EQUIPMENT,20YR LONGEVITY WATCHES & AWARD FOR NYPD-DEPT RECOGNITION,Goods," $43,900.00 "," $43,900.00 ",12/12/2022,6/30/2023,11/28/2022,,SM PURCH GOODS SERVICES 100K,,233750026
Registered,Expense,Prime Vendor,CDW GOVERNMENT LLC,N/A,Non-M/WBE,No ,No ,Police Department,DATA PROCESSING EQUIPMENT MAINTENANCE,CT105620231408236,,1,SUPPLIES/MATERIALS/EQUIPMENT,,Goods," $68,886.90 "," $68,886.90 ",12/2/2022,6/30/2023,11/23/2022,,SM PURCH GOODS SERVICES 100K,,236220065
Registered,Expense,Prime Vendor,AWARDS DEPOT,N/A,Black American,No ,No ,Police Department,MISCELLANEOUS AWARDS,CT105620231407966,,1,SUPPLIES/MATERIALS/EQUIPMENT,CROSS CHROME & GOLD PENS FOR NYPD_DEPT OF RECOG. QMS#1077,Goods," $65,000.00 "," $65,000.00 ",11/30/2022,6/30/2023,11/23/2022,,SM PURCH GOODS SERVICES 100K,,233750041
Registered,Expense,Prime Vendor,Sealing Technologies Inc,N/A,Non-M/WBE,No ,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231409106,,1,SUPPLIES/MATERIALS/EQUIPMENT,236220234 SocialNet Identity Mgt Subscription RFB Purchase,Goods," $16,875.00 "," $16,875.00 ",11/21/2022,6/30/2023,11/21/2022,,SMALL PURCHASE - WRITTEN,,236220234
Registered,Expense,Prime Vendor,RAJ SOMAS,N/A,Asian American,No ,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231409107,,1,SUPPLIES/MATERIALS/EQUIPMENT,236220265 + MOMENTIVE SURVEYMONKEY,Goods," $22,950.00 "," $22,950.00 ",11/21/2022,6/30/2023,11/21/2022,,SMALL PURCHASE - WRITTEN,,236220265
Registered,Expense,Prime Vendor,EMPIRE ELECTRONICS INC,N/A,Women (Non-Minority),Yes,No ,Police Department,PURCH DATA PROCESSING EQUIPT,CT105620231407621,,1,SUPPLIES/MATERIALS/EQUIPMENT,236220152 + DELL VOSTRO 5620 LAPTOP (64),Goods," $54,224.00 "," $54,224.00 ",11/24/2022,6/30/2023,11/18/2022,,SM PURCH GOODS SERVICES 100K,,236220152
Registered,Expense,Prime Vendor,EMPIRE ELECTRONICS INC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231408536,,1,SUPPLIES/MATERIALS/EQUIPMENT,SunBright TV & Mic  QMS 1484,Goods," $23,268.80 "," $23,268.80 ",11/9/2022,6/30/2023,11/18/2022,,SMALL PURCHASE - WRITTEN,,235050018
Registered,Expense,Prime Vendor,OXFORD INSTRUMENTS AMERICA  INC.,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CT105620231408116,,1,WORK/LABOR,INSTRUMENTATION SERVICE SUPPORT  QMS 1424,Goods," $18,263.00 "," $18,263.00 ",11/10/2022,6/30/2023,11/18/2022,,SMALL PURCHASE - WRITTEN,,235640030
Registered,Expense,Prime Vendor,METALS TREATMENT TECHNOLOGIES LLC,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CT105620238802225,,1,WORK/LABOR,Lead Remediation Abatement Metals Treatment Technologies/MT2,Not Classified," $1,437,463.00 "," $1,437,463.00 ",7/1/2022,6/30/2024,11/16/2022,,RENEWAL OF CONTRACT,,05618S8210KXLR002
Registered,Expense,Sub Vendor,D & B ENGINEERS AND ARCHITECTS DPC,METALS TREATMENT TECHNOLOGIES LLC,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CT105620238802225,,1,WORK/LABOR,Soil and ground water sampling  air quality control monitoring  annual/bi-annual report analysis of NYPD Rodman's Neck facility,Arch and Engineering," $54,090.00 "," $54,090.00 ",12/10/2022,6/30/2024,11/16/2022,,RENEWAL OF CONTRACT,,D&B ENG
Registered,Revenue,Prime Vendor,PROPERTYROOM. COM INC,N/A,Non-M/WBE,No ,No ,Police Department,,RCT105620238804445,,1,WORK/LABOR,Internet Based Auctioning of Invoiced Property.,Not Classified," $1,200,000.00 "," $1,200,000.00 ",3/8/2020,3/7/2023,11/15/2022,,NEG ACQUISITSION  EXTN AND DOE NEGOTIATED SERVICES EXTN,,05622N0002001
Registered,Expense,Prime Vendor,BODE Cellmark Forensics  INC,N/A,Non-M/WBE,No ,No ,Police Department,SUPPLIES + MATERIALS - GENERAL,CT105620231406183,,1,SUPPLIES/MATERIALS/EQUIPMENT,235680013  SECURESWAB COLLECTOR P13D05,Goods," $32,905.00 "," $32,905.00 ",11/1/2022,6/30/2023,11/14/2022,,SM PURCH GOODS SERVICES 100K,,235680013
Registered,Expense,Prime Vendor,ABRAHAMS CONSULTING LLC,N/A,Black American,Yes,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231408176,,1,WORK/LABOR,AUTOCAD SOFTWARE LICENSES  QMS 1390,Goods," $23,983.40 "," $23,983.40 ",11/2/2022,6/30/2023,11/14/2022,,SMALL PURCHASE - WRITTEN,,236220247
Registered,Expense,Prime Vendor,OBAY PROPERTIES LLC,N/A,Non-M/WBE,No ,No ,Police Department,OTHR SERV AND CHRGS-GENERAL,CT105620231406167,,1,WORK/LABOR,BOTTOM PAINT SERVICE  QMS 1135,Goods," $56,383.80 "," $56,383.80 ",10/21/2022,6/30/2023,11/14/2022,,SM PURCH GOODS SERVICES 100K,,234710050
Registered,Expense,Prime Vendor,JUREK BROS INC,N/A,Non-M/WBE,No ,No ,Police Department,MEDICAL SURGICAL & LAB SUPPLY,CT105620231406811,,1,SUPPLIES/MATERIALS/EQUIPMENT,235640128  WINCHESTER AMMUNITION,Goods," $31,517.74 "," $31,517.74 ",11/30/2022,6/30/2023,11/14/2022,,SM PURCH GOODS SERVICES 100K,,235640128
Registered,Expense,Prime Vendor,AFA PROTECTIVE SYSTEMS INC,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & OPER OF INFRASTRUCTURE  MAINT & REP GENERAL,CT105620231403571,,1,WORK/LABOR,UPGRADE OF THE HEAD END OF THE FIRE SYSTEM  QMS 0941,Goods," $100,000.00 "," $100,000.00 ",9/27/2022,6/30/2023,11/12/2022,,SM PURCH GOODS SERVICES 100K,,235390011
Registered,Expense,Prime Vendor,Sterling Corporation,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & REP GENERAL,CT105620231405761,,1,WORK/LABOR,REPAIR  INSPECTION  OVERHAUL HELICOPTER COMPONENTS  QMS 0965,Goods," $100,000.00 "," $100,000.00 ",10/17/2022,6/30/2023,11/9/2022,,SM PURCH GOODS SERVICES 100K,,234800010
Registered,Expense,Prime Vendor,COMPULINK TECHNOLOGIES INC,N/A,Hispanic American,No ,No ,Police Department,PURCH DATA PROCESSING EQUIPT,CT105620231406826,,1,SUPPLIES/MATERIALS/EQUIPMENT,Apple Mac Studio Macbook Peripherals  QMS 1236,Goods," $36,721.53 "," $36,721.53 ",10/19/2022,6/30/2023,11/9/2022,,SM PURCH GOODS SERVICES 100K,,236220176
Registered,Expense,Prime Vendor,PINA M INC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231406931,,1,SUPPLIES/MATERIALS/EQUIPMENT,DUAL PURPOSE POLICE CANINE  QMS 1156,Goods," $56,850.00 "," $56,850.00 ",11/3/2022,6/30/2023,11/7/2022,,SM PURCH GOODS SERVICES 100K,,234750004
Registered,Expense,Prime Vendor,AGIOS WORLD WIDE INC,N/A,Women (Non-Minority),Yes,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231407967,,1,SUPPLIES/MATERIALS/EQUIPMENT,MAGNET OUTRIDER COMPUTER - LE SOFTWARE RENEWAL  QMS 1305,Goods," $10,400.00 "," $10,400.00 ",10/31/2022,6/30/2023,11/7/2022,,SMALL PURCHASE - WRITTEN,,236220194
Registered,Expense,Prime Vendor,ITEGIX LLC,N/A,Hispanic American,No ,No ,Police Department,DATA PROCESSING EQUIPMENT MAINTENANCE,CT105620231406321,,1,WORK/LABOR,DIRAD SUPPORT RENEWAL  QMS 1146,Goods," $21,999.00 "," $21,999.00 ",10/6/2022,6/30/2023,11/2/2022,,SMALL PURCHASE - WRITTEN,,236220112
Registered,Expense,Prime Vendor,COMPULINK TECHNOLOGIES INC,N/A,Hispanic American,No ,No ,Police Department,PURCH DATA PROCESSING EQUIPT,CT105620231406709,,1,SUPPLIES/MATERIALS/EQUIPMENT,JOC REAR DISPLAY MONITORS  QMS 1147,Goods," $34,345.26 "," $34,345.26 ",10/18/2022,6/30/2023,11/1/2022,,SM PURCH GOODS SERVICES 100K,,236220093
Registered,Expense,Prime Vendor,COMPULINK TECHNOLOGIES INC,N/A,Hispanic American,No ,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231406452,,1,SUPPLIES/MATERIALS/EQUIPMENT,236220101 + APPVIEW X ADC,Goods," $59,162.80 "," $59,162.80 ",11/4/2022,6/30/2023,11/1/2022,,SM PURCH GOODS SERVICES 100K,,236220101
Registered,Expense,Prime Vendor,WHOOSTER INC,N/A,Non-M/WBE,No ,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231405311,,1,SUPPLIES/MATERIALS/EQUIPMENT,WHOOSTER DATA SOLUTIONS  QMS 1037,Goods," $65,000.00 "," $65,000.00 ",9/19/2022,6/30/2023,10/31/2022,,SM PURCH GOODS SERVICES 100K,,236220149
Registered,Expense,Prime Vendor,READY DATA INC,N/A,Hispanic American,Yes,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231405956,,1,SUPPLIES/MATERIALS/EQUIPMENT,236220134 LEXMARK TONER CARTRIDGE & RETURN PROGRAMME IMAGIN,Goods," $99,002.52 "," $99,002.52 ",10/28/2022,6/30/2023,10/31/2022,,SM PURCH GOODS SERVICES 100K,,236220134
Registered,Expense,Prime Vendor,BOTACH INC,N/A,Non-M/WBE,No ,No ,Police Department,EQUIPMENT GENERAL,CT105620231405628,,1,SUPPLIES/MATERIALS/EQUIPMENT,BALLISTIC BLANKET KIT  QMS 586,Goods," $52,500.00 "," $52,500.00 ",10/14/2022,6/30/2023,10/31/2022,,SM PURCH GOODS SERVICES 100K,,234501003
Registered,Expense,Prime Vendor,SAFE BOATS INTERNATIONAL LLC,N/A,Non-M/WBE,No ,No ,Police Department,MOTOR VEHICLES,CT105620238804018,,1,REQUIREMENTS-GOODS,The Port Grant awarded due to booming expansion NYC Ferry,Goods," $459,012.34 "," $459,012.34 ",6/16/2022,6/15/2025,10/28/2022,,SOLE SOURCE,,05622S0008001
Registered,Expense,Prime Vendor,READY DATA INC,N/A,Hispanic American,Yes,No ,Police Department,PURCH DATA PROCESSING EQUIPT,CT105620231406322,,1,SUPPLIES/MATERIALS/EQUIPMENT,Forensic Workstation  QMS 1149,Goods," $30,000.00 "," $30,000.00 ",9/7/2022,6/30/2023,10/28/2022,,SM PURCH GOODS SERVICES 100K,,236220148
Registered,Expense,Prime Vendor,GARTNER INC,N/A,Non-M/WBE,No ,No ,Police Department,PROF SERV COMPUTER SERVICES,CTA105620237202701,,1,SUBSCRIPTIONS,Gartner for Enterprise IT Leaders,Professional Services," $252,038.16 "," $252,038.16 ",9/1/2022,8/31/2023,10/25/2022,,MULTIPLE AWARDS,,85719O0003001
Registered,Expense,Prime Vendor,BLACK SYSTEMS LLC,N/A,Asian American,No ,No ,Police Department,DATA PROCESSING EQUIPMENT MAINTENANCE,CT105620231405763,,1,WORK/LABOR,GrayKey Licenses Premier  QMS 1105,Goods," $46,871.50 "," $46,871.50 ",8/8/2022,8/7/2023,10/24/2022,,SM PURCH GOODS SERVICES 100K,,236220161
Registered,Expense,Prime Vendor,CDE AIR CONDITIONING CO INC,N/A,Non-M/WBE,No ,No ,Police Department,CONSTRUCTION-BUILDINGS,CT105620238803882,,1,CONSTRUCTION,Boiler Replacement for 68th & 76th Precincts,Construction Services," $2,104,541.00 "," $2,104,541.00 ",12/1/2022,11/30/2023,10/24/2022,,COMPETITIVE SEALED BIDDING,,05621B0021002
Registered,Expense,Prime Vendor,Mark Andy  Inc.,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & REP GENERAL,CT105620231405237,,1,SUPPLIES/MATERIALS/EQUIPMENT,MAINTENANCE FOR NYPD PRESSTEK DIGITAL PRESS,Goods," $65,492.49 "," $65,492.49 ",10/19/2022,6/30/2023,10/21/2022,,SM PURCH GOODS SERVICES 100K,,235060011
Registered,Expense,Prime Vendor,VMAX GROUP LLC,N/A,Non-M/WBE,No ,No ,Police Department,TRAINING PRGM CITY EMPLOYEES,CT105620231407486,,1,WORK/LABOR,CONSULTANTS  QMS 1018,Goods," $13,000.00 "," $13,000.00 ",10/21/2022,6/30/2023,10/21/2022,,SMALL PURCHASE - WRITTEN,,233951022
Registered,Expense,Prime Vendor,EMPIRE ELECTRONICS INC,N/A,Women (Non-Minority),Yes,No ,Police Department,PURCH DATA PROCESSING EQUIPT,CT105620231405312,,1,SUPPLIES/MATERIALS/EQUIPMENT,Vostro 7620 Laptop  QMS 1042,Goods," $28,152.00 "," $28,152.00 ",9/19/2022,6/30/2023,10/19/2022,,SM PURCH GOODS SERVICES 100K,,236220158
Registered,Expense,Prime Vendor,CDW GOVERNMENT LLC,N/A,Non-M/WBE,No ,No ,Police Department,DATA PROCESSING SUPPLIES,CT105620231404396,,1,SUPPLIES/MATERIALS/EQUIPMENT,,Goods," $37,170.00 "," $37,170.00 ",10/6/2022,6/30/2023,10/19/2022,,SM PURCH GOODS SERVICES 100K,,236220095
Registered,Expense,Prime Vendor,NJX ENTERPRISE CORPORATION,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & OPER OF INFRASTRUCTURE,CT105620231403886,,1,WORK/LABOR,23-5390016 Upgrade the Firewall and Back End Devices on BMS,Goods," $99,000.00 "," $99,000.00 ",10/8/2022,6/30/2023,10/19/2022,,SM PURCH GOODS SERVICES 100K,,235390016
Registered,Expense,Prime Vendor,ITEGIX LLC,N/A,Hispanic American,No ,No ,Police Department,DATA PROCESSING EQUIPMENT MAINTENANCE,CT105620231406346,,1,SUPPLIES/MATERIALS/EQUIPMENT,236220111 + ADF DIGITAL EVIDENCE INVESTIGATOR,Goods," $16,812.00 "," $16,812.00 ",10/4/2022,6/30/2023,10/19/2022,,SMALL PURCHASE - WRITTEN,,236220111
Registered,Expense,Prime Vendor,EBONY OFFICE PRODUCTS INC,N/A,Black American,No ,No ,Police Department,SUPPLIES + MATERIALS - GENERAL,CT105620238804324,,1,SUPPLIES/MATERIALS/EQUIPMENT,Binder  Red Pressboard,Goods," $37,125.00 "," $37,125.00 ",10/18/2022,10/17/2023,10/18/2022,,MWBE PURCHASE - NOT EXCEEDING $500K,,05623W0002001
Registered,Expense,Prime Vendor,V-ARMED INC,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL  EQUIPMENT GENERAL  PURCH DATA PROCESSING EQUIPT,CT105620238803705,,2,SUPPLIES/MATERIALS/EQUIPMENT,Virtual Reality Training Simulator,Goods," $999,000.00 "," $999,000.00 ",12/1/2022,11/30/2025,10/18/2022,,SOLE SOURCE,,05622S0009001
Registered,Expense,Prime Vendor,RENISHAW INC,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL,CT105620231403709,,1,WORK/LABOR,235640032  SERVICE RAMAN SPECTROMETER,Goods," $26,302.50 "," $26,302.50 ",10/6/2022,6/30/2023,10/17/2022,,SM PURCH GOODS SERVICES 100K,,235640032
Registered,Expense,Prime Vendor,National Association of State Boating Law Administrators Inc,N/A,Non-M/WBE,No ,No ,Police Department,TRAINING PRGM CITY EMPLOYEES,CT105620231406256,,1,WORK/LABOR,ACCIDENT INVESTIGATION COURSE  QMS 1009,Goods," $16,000.00 "," $16,000.00 ",10/3/2022,6/30/2023,10/13/2022,,SMALL PURCHASE - WRITTEN,,234710016
Registered,Expense,Prime Vendor,OREGON BALLISTIC LABORATORIES  LLC,N/A,Non-M/WBE,No ,No ,Police Department,PROF SERV OTHER,CT105620238802936,,1,REQUIREMENTS-GOODS,Ballistic Testing of NYPD Vests Second Renewal,Goods," $295,028.66 "," $295,028.66 ",5/3/2021,5/2/2024,10/13/2022,,RENEWAL OF CONTRACT,,05613B0235001R002
Registered,Expense,Prime Vendor,D J PLUMBING SUPPLY CO INC,N/A,Women (Non-Minority),Yes,No ,Police Department,MAINTENANCE SUPPLIES,CT105620231404516,,1,SUPPLIES/MATERIALS/EQUIPMENT,23-5390020 PLUMBING SUPPLIES,Goods," $41,700.00 "," $41,700.00 ",10/24/2022,6/30/2023,10/12/2022,,SM PURCH GOODS SERVICES 100K,,23-5390020
Registered,Expense,Prime Vendor,ST. JOHN'S UNIVERSITY,N/A,Non-M/WBE,No ,No ,Police Department,OTHR SERV AND CHRGS-GENERAL,CT105620231406751,,1,WORK/LABOR,NYDP OCTOBER RECRUIT GRADUATION CEREMONY  - 233840057,Goods," $22,443.60 "," $22,443.60 ",10/7/2022,6/30/2023,10/11/2022,,SMALL PURCHASE - WRITTEN,,233840057
Registered,Expense,Prime Vendor,EMPIRE ELECTRONICS INC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231403017,,1,SUPPLIES/MATERIALS/EQUIPMENT,DROP ARM GATE FOR NYPD COUNTERTERRORISM BUREAU #233951010,Goods," $76,647.10 "," $76,647.10 ",10/16/2022,6/30/2023,10/6/2022,,SM PURCH GOODS SERVICES 100K,,233951010
Registered,Expense,Prime Vendor,EMPIRE ELECTRONICS INC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231403376,,1,SUPPLIES/MATERIALS/EQUIPMENT,ESS ROLLBAR TACTICAL FOR NYPD-CTB #233951011,Goods," $47,500.00 "," $47,500.00 ",10/16/2022,6/30/2023,10/6/2022,,SM PURCH GOODS SERVICES 100K,,233951011
Registered,Expense,Prime Vendor,SECURITY IDENTIFICATION SYSTEM CORP.  /  SISCO,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & REP GENERAL,CT105620231403497,,1,WORK/LABOR,FAST PASS SYSTEM MAINTENANCE AGREEMENT  QMS 373,Goods," $87,203.00 "," $87,203.00 ",10/9/2022,6/30/2024,10/3/2022,,SM PURCH GOODS SERVICES 100K,,234350005
Registered,Expense,Prime Vendor,CROWN CASTLE FIBER LLC,N/A,Non-M/WBE,No ,No ,Police Department,CAPITAL PURCHASED EQUIPMENT  DATA PROCESSING EQUIPMENT MAINTENANCE,CT105620231403018,,1,REQUIREMENTS,IRU Assignment for Finest2 RANGER System,Professional Services," $43,777,971.46 "," $43,777,971.46 ",1/1/2019,12/21/2039,10/1/2022,,ASSIGNMENT - NYPD ONLY,,56141111115
Registered,Expense,Prime Vendor,TAMCO MECHANICAL  INC.,N/A,Non-M/WBE,No ,No ,Police Department,MAINT & OPER OF INFRASTRUCTURE,CT105620231402761,,1,REQUIREMENTS-SERVICES,MAINTAIN DETENTION CELLS SUPPLY MATERIALS AND LABOR  QMS0878,Goods," $100,000.00 "," $100,000.00 ",8/11/2022,6/30/2023,9/30/2022,,SM PURCH GOODS SERVICES 100K,,233660066
Registered,Expense,Prime Vendor,THREE GALS INDUSTRIAL LLC,N/A,Women (Non-Minority),Yes,No ,Police Department,EQUIPMENT GENERAL,CT105620231403662,,1,SUPPLIES/MATERIALS/EQUIPMENT,INFLATABLE BOAT & ACCESSORIES NYPD-HARBOR UNIT #234710003,Goods," $55,429.38 "," $55,429.38 ",10/16/2022,6/30/2023,9/30/2022,,SM PURCH GOODS SERVICES 100K,,234710003
Registered,Expense,Prime Vendor,LM LANGUAGE SERVICES INC,N/A,Hispanic American,Yes,No ,Police Department,TEMPORARY SERVICES,CT105620238802840,,1,WORK/LABOR,Transcription/Translation Services,Professional Services," $196,290.00 "," $196,290.00 ",10/1/2022,9/30/2024,9/29/2022,,MWBE PURCHASE - NOT EXCEEDING $500K,,05623W0001001
Registered,Expense,Prime Vendor,AAA EMERGENCY SUPPLY  CO. INC.,N/A,Non-M/WBE,No ,No ,Police Department,CONTRACTUAL SERVICES GENERAL  EQUIPMENT GENERAL,CT105620231403751,,1,SUPPLIES/MATERIALS/EQUIPMENT,QUANTIFIT 2 FIT TEST MACHINE  QMS 426,Goods," $36,500.00 "," $36,500.00 ",9/15/2022,6/30/2023,9/27/2022,,SM PURCH GOODS SERVICES 100K,,233951005A
Registered,Expense,Prime Vendor,GLOBAL EMPIRE LOGISTICS,N/A,Hispanic American,Yes,No ,Police Department,MAINT & REP GENERAL,CT105620231403286,,1,WORK/LABOR,UPRAGE JOHNSON CONTROL BASED BMS  QMS 0819,Goods," $99,975.00 "," $99,975.00 ",9/27/2022,6/30/2023,9/26/2022,,SM PURCH GOODS SERVICES 100K,,235390015
