Site ID Recoded,Treatment,Tree ID,Tree Type Recoded,Tree Section,Sample Section (m>ground),DBH (cm),Diameter at base 0 m (cm),Diameter at 1 m above ground (cm),Diameter at 2 m above ground (cm),Parasitoid Species Recoded,EAB Count (L3-Adult),Sampling Date
CT3,RLS,1,Sapling,Bole,3,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Large-2m,Bole,1,31.1,41,32.5,29.1,NONE,31,10/21-10/24/2020
CT3,RLS,2,Large-2m,Bole,1,31.1,41,32.5,29.1,SPAT,1,10/21-10/24/2020
CT3,RLS,2,Large-2m,Bole,2,31.1,41,32.5,29.1,Atan,1,10/21-10/24/2020
CT3,RLS,2,Large-2m,Bole,2,31.1,41,32.5,29.1,NONE,26,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,1,10.6,14.5,11,9.8,NONE,3,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,2,10.6,14.5,11,9.8,NONE,3,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Sapling,Bole,1,4.9,7.5,5,4.5,NONE,7,10/21-10/24/2020
CT3,RLS,2,Sapling,Bole,1,4.9,7.5,5,4.5,TET,2,10/21-10/24/2020
CT3,RLS,2,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
CT3,RLS,2,Sapling,Bole,2,4.9,7.5,5,4.5,TET,2,10/21-10/24/2020
CT3,RLS,3,Large-2m,Bole,1,25.5,32.8,27,24.8,NONE,21,10/21-10/24/2020
CT3,RLS,3,Large-2m,Bole,2,25.5,32.8,27,24.8,NONE,9,10/21-10/24/2020
CT3,RLS,3,Large-2m,Bole,2,25.5,32.8,27,24.8,SPAT,1,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,1,18.2,13.1,11.8,12.6,NONE,8,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,1,18.2,13.1,11.8,12.6,SPAT,0,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,2,18.2,13.1,11.8,12.6,NONE,4,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,2,18.2,13.1,11.8,12.6,Phas,1,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,2,18.2,13.1,11.8,12.6,SPAT,1,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,6,,,,,Phas,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,6,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,8,,,,,Phas,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,9,,,,,Phas,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,10,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Pole Size,Bole,11,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Sapling,Bole,1,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Sapling,Bole,3,,,,,NONE,,10/21-10/24/2020
CT3,RLS,3,Sapling,Bole,4,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,1,17.5,26.5,18.6,15.5,NONE,28,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,1,17.5,26.5,18.6,15.5,Phas,2,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,1,17.5,26.5,18.6,15.5,SPAT,1,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,2,17.5,26.5,18.6,15.5,NONE,10,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,2,17.5,26.5,18.6,15.5,Phas,2,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,2,17.5,26.5,18.6,15.5,SPAT,7,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,4,,,,,Atan,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,4,,,,,Phas,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,5,,,,,Phas,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,6,,,,,Phas,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,6,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,7,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Br1,9,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Br1,9,,,,,Phas,,10/21-10/24/2020
CT3,RLS,4,Pole Size,Br1,9,,,,,SPAT,,10/21-10/24/2020
CT3,RLS,4,Sapling,Bole,1,5.2,9,6.5,6,NONE,4,10/21-10/24/2020
CT3,RLS,4,Sapling,Bole,1,5.2,9,6.5,6,SPAT,5,10/21-10/24/2020
CT3,RLS,4,Sapling,Bole,1,5.2,9,6.5,6,TET,1,10/21-10/24/2020
CT3,RLS,4,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
CT3,RLS,4,Sapling,Bole,2,5.2,9,6.5,6,SPAT,1,10/21-10/24/2020
CT3,RLS,5,Sapling,Bole,1,4.7,6.6,5,4.5,NONE,2,10/21-10/24/2020
CT3,RLS,5,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
CT4,RLS,1,Pole Size,Bole,1,7.8,10.3,8,7,NONE,5,10/21-10/24/2020
CT4,RLS,1,Pole Size,Bole,2,7.8,10.3,8,7,NONE,5,10/21-10/24/2020
CT4,RLS,1,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT4,RLS,1,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT4,RLS,1,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT4,RLS,2,Pole Size,Bole,1,15.6,9.1,15.6,14.7,NONE,2,10/21-10/24/2020
CT4,RLS,2,Pole Size,Bole,2,15.6,9.1,15.6,14.7,NONE,1,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,1,10.2,8.6,8.8,8.3,NONE,1,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,2,,,,,NONE,,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,3,,,,,TET,,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT4,RLS,3,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,1,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,2,10.8,14.5,11.1,9.9,NONE,1,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
CT4,RLS,4,Pole Size,Bole,10,,,,,NONE,,10/21-10/24/2020
CT4,RLS,5,Pole Size,Bole,1,20.4,31,21,19.6,NONE,7,10/21-10/24/2020
CT4,RLS,5,Pole Size,Bole,2,20.4,31,21,19.6,NONE,14,10/21-10/24/2020
CT12,RLS,1,Large-2m,Bole,1,29,39,30,27,NONE,12,10/21-10/24/2020
CT12,RLS,1,Large-2m,Bole,1,29,39,30,27,Phas,1,10/21-10/24/2020
CT12,RLS,1,Large-2m,Bole,1,29,39,30,27,SPAT,1,10/21-10/24/2020
CT12,RLS,1,Large-2m,Bole,2,29,39,30,27,NONE,6,10/21-10/24/2020
CT12,RLS,1,Large-2m,Bole,2,29,39,30,27,SPAT,3,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,1,11.6,15.6,13.35,11.4,NONE,12,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,1,11.6,15.6,13.35,11.4,Other,1,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,1,11.6,15.6,13.35,11.4,SPAT,6,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,2,,,,,NONE,,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,2,11.6,15.6,13.35,11.4,SPAT,7,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,3,,,,,Other,,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,1,Pole Size,Bole,4,,,,,TET,,10/21-10/24/2020
CT12,RLS,1,Sapling,Bole,1,6,,,,NONE,10,10/21-10/24/2020
CT12,RLS,1,Sapling,Bole,1,6,,,,TET,2,10/21-10/24/2020
CT12,RLS,1,Sapling,Bole,2,6,,,,NONE,1,10/21-10/24/2020
CT12,RLS,1,Sapling,Bole,3,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Large-2m,Bole,1,21.8,28,22.3,20.87,NONE,3,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,1,12.2,14,12.8,11.7,BI,1,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,1,12.2,14,12.8,11.7,NONE,19,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,1,12.2,14,12.8,11.7,SPAT,9,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,2,12.2,14,12.8,11.7,NONE,5,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,2,12.2,14,12.8,11.7,SPAT,16,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,6,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,7,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,8,,,,,Phas,,10/21-10/24/2020
CT12,RLS,2,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,2,Sapling,Bole,1,6.3,,,,NONE,2,10/21-10/24/2020
CT12,RLS,2,Sapling,Bole,1,6.3,,,,SPAT,2,10/21-10/24/2020
CT12,RLS,2,Sapling,Bole,1,6.3,,,,TET,2,10/21-10/24/2020
CT12,RLS,3,Large-2m,Bole,1,37,41,36,33,Atan,1,10/21-10/24/2020
CT12,RLS,3,Large-2m,Bole,1,37,41,36,33,NONE,42,10/21-10/24/2020
CT12,RLS,3,Large-2m,Bole,1,37,41,36,33,Phas,1,10/21-10/24/2020
CT12,RLS,3,Large-2m,Bole,2,37,41,36,33,NONE,38,10/21-10/24/2020
CT12,RLS,3,Large-2m,Bole,2,37,41,36,33,Phas,3,10/21-10/24/2020
CT12,RLS,3,Large-2m,Bole,2,37,41,36,33,SPAT,11,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,1,15,17.8,15.2,14,NONE,18,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,1,15,17.8,15.2,14,SPAT,8,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,1,15,17.8,15.2,14,TET,1,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,2,15,17.8,15.2,14,NONE,3,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,2,15,17.8,15.2,14,SPAT,3,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,7,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Pole Size,Bole,10,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Sapling,Bole,1,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Sapling,Bole,1,4.6,5.5,4.7,4,TET,1,10/21-10/24/2020
CT12,RLS,3,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Sapling,Bole,3,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Sapling,Bole,4,,,,,NONE,,10/21-10/24/2020
CT12,RLS,3,Sapling,Bole,5,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Large-2m,Bole,1,29.2,36.7,30.1,28,NONE,28,10/21-10/24/2020
CT12,RLS,4,Large-2m,Bole,2,29.2,36.7,30.1,28,NONE,36,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,1,8.9,11,9.2,8.2,NONE,3,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,1,8.9,11,9.2,8.2,SPAT,2,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,1,8.9,11,9.2,8.2,TET,1,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,2,8.9,11,9.2,8.2,NONE,3,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,2,8.9,11,9.2,8.2,SPAT,1,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
CT12,RLS,4,Pole Size,Bole,11,,,,,TET,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,1,11.5,16,12.3,11.8,NONE,2,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,2,11.5,16,12.3,11.8,NONE,2,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,3,,,,,TET,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,6,,,,,TET,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
MA01,RLS,1,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,1,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,2,14.7,20,15.6,14.1,NONE,4,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,10,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,11,,,,,NONE,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,11,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,2,Pole Size,Bole,12,,,,,NONE,,10/21-10/24/2020
MA01,RLS,3,Pole Size,Bole,1,,,,,NONE,,10/21-10/24/2020
MA01,RLS,3,Pole Size,Bole,2,,,,,NONE,,10/21-10/24/2020
MA01,RLS,3,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
MA01,RLS,3,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
MA01,RLS,3,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
MA01,RLS,3,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,1,20.1,27,21,19.2,Atan,1,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,1,20.1,27,21,19.2,NONE,47,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,2,20.1,27,21,19.2,NONE,30,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,2,20.1,27,21,19.2,SPAT,1,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,6,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,7,,,,,Atan,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,7,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,9,,,,,Atan,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,9,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,10,,,,,Atan,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,10,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,10,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,11,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,11,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,12,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,12,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,13,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,13,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,14,,,,,NONE,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,14,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,15,,,,,SPAT,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,16,,,,,Atan,,10/21-10/24/2020
MA01,RLS,4,Pole Size,Bole,16,,,,,SPAT,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,1,7.3,9.6,7.9,6.8,Atan,6,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,1,7.3,9.6,7.9,6.8,NONE,10,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,1,7.3,9.6,7.9,6.8,SPAT,3,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,2,7.3,9.6,7.9,6.8,Atan,1,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,2,7.3,9.6,7.9,6.8,NONE,11,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,2,7.3,9.6,7.9,6.8,SPAT,7,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,3,,,,,Atan,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,4,,,,,Atan,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
NYDB,RLS,1,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,1,8,,,,NONE,4,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,2,8,,,,NONE,9,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,5,,,,,TET,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,6,,,,,Phas,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,6,,,,,TET,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,2,Pole Size,Br1,7,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,1,12.2,16.1,12.6,12,NONE,11,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,2,12.42,16.1,12.6,12,NONE,24,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,2,12.5,16.1,12.6,12,Phas,2,10/21-10/24/2020
